City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Hauterive,FR,46.0901,3.4459,74.16,47,0,2.84,clear sky
174,Gambela,ET,8.25,34.5833,72.34,82,100,1.99,overcast clouds
175,Maceio,BR,-9.6658,-35.7353,76.44,88,100,8.05,overcast clouds
176,Shalya,RU,57.2471,58.7298,57.83,94,43,4.27,scattered clouds
177,Pangai,TO,-19.8,-174.35,80.71,78,20,9.22,few clouds
178,Sinnamary,GF,5.3833,-52.95,80.11,84,53,7.18,broken clouds
179,Pangkalanbuun,ID,-2.6833,111.6167,73.94,99,100,0.38,moderate rain
180,San Patricio,US,28.017,-97.5169,95.72,41,8,17.4,clear sky
181,Tautira,PF,-17.7333,-149.15,75.65,69,41,19.26,light rain
182,Wanlaweyn,SO,2.6185,44.8938,73.85,80,76,16.15,broken clouds
183,Te Anau,NZ,-45.4167,167.7167,41.52,97,100,7.36,overcast clouds
184,Sitka,US,57.0531,-135.33,62.49,72,100,5.75,overcast clouds
185,San Policarpo,PH,12.1791,125.5072,78.39,88,100,4.41,overcast clouds
186,Mayumba,GA,-3.432,10.6554,70.39,92,91,6.93,overcast clouds
187,Anadyr,RU,64.75,177.4833,62.49,77,12,5.82,few clouds
188,Hermanus,ZA,-34.4187,19.2345,58.8,51,99,7.9,overcast clouds
189,Fallon,US,39.4735,-118.7774,99.91,14,0,3.06,clear sky
190,Khurda,IN,20.1833,85.6167,76.91,92,100,2.62,moderate rain
191,Olot,ES,42.181,2.4901,80.74,48,0,5.57,clear sky
192,Zyryanka,RU,65.75,150.85,61.61,63,99,9.42,overcast clouds
193,Tauranga,NZ,-37.6861,176.1667,50.94,87,7,1.01,clear sky
194,Ribeira Grande,PT,38.5167,-28.7,71.96,84,1,5.68,clear sky
195,Nha Trang,VN,12.25,109.1833,80.6,88,32,4.76,scattered clouds
196,Khatanga,RU,71.9667,102.5,57.29,63,20,5.01,few clouds
